appid,price_usd,required_age,n_supported_languages,n_achievements,n_screenshots_api,n_movies,n_dlc,description_len_chars,description_len_words,n_tags,is_free,supports_windows,supports_mac,supports_linux,release_year,release_month,release_quarter,release_dow,genre_action,genre_adventure,genre_indie,genre_rpg,genre_strategy,genre_simulation,genre_free_to_play,genre_casual,genre_massively_multiplayer,genre_sports,genre_early_access,genre_racing,cat_single_player,cat_family_sharing,cat_steam_achievements,cat_multi_player,cat_steam_trading_cards,cat_steam_cloud,cat_full_controller_support,cat_co_op,cat_pvp,cat_online_pvp,cat_online_co_op,cat_remote_play_on_tablet,cat_remote_play_on_tv,cat_partial_controller_support,cat_steam_workshop,tag_singleplayer,tag_action,tag_multiplayer,tag_adventure,tag_co_op,tag_atmospheric,tag_open_world,tag_first_person,tag_shooter,tag_rpg,tag_story_rich,tag_great_soundtrack,tag_indie,tag_online_co_op,tag_strategy,tag_third_person,tag_fps,tag_simulation,tag_sandbox,tag_survival,tag_funny,tag_sci_fi,tag_pvp,tag_fantasy,tag_gore,tag_free_to_play,tag_casual,tag_difficult,tag_character_customization,tag_exploration,umap_x,umap_y,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
391540,9.99,0,2,0,7,1,1,949,162,20.0,0,1,1,1,2015.0,9.0,3.0,1.0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.478393,0.8223553,0.0200109488953074,0.0200048581245751,0.0200065694659658,0.0200069489546856,0.0200070048285857,0.0200192584404468,0.020004090339253,0.0200084171527806,0.0200072326245941,0,1,0,0,0,0
413150,14.99,0,12,49,16,1,1,3767,626,20.0,0,1,1,1,2016.0,2.0,1.0,4.0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,7.7771873,5.6425295,0.0066673088756577,0.0066675571478084,0.0066674886553039,0.0066676768127977,0.0066674030419976,0.0066679446305148,0.0066677016259505,0.0066676085227889,0.0066683031964525,0,1,0,0,0,0
736220,19.99,0,9,0,19,4,1,2449,390,20.0,0,1,0,0,2018.0,8.0,3.0,3.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11.218353,5.5883794,0.0071440704616605,0.935697031686071,0.0071439061313858,0.0071444309809169,0.0071455589051605,0.0071443527350233,0.0071447312156284,0.0071455814035197,0.007145042504252,0,0,1,0,0,0
548430,29.99,0,17,69,76,23,14,2858,486,20.0,0,1,0,0,2020.0,5.0,2.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,11.375402,2.6035855,0.0050006109506846,0.0050006107352277,0.0050009690265526,0.005001647317197,0.0050012742995131,0.5295679439397353,0.0050012542574222,0.0050012172999265,0.005002373733146,0,0,0,0,1,0
1158310,49.99,0,9,188,14,3,33,3074,496,20.0,0,1,1,1,2020.0,9.0,3.0,1.0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,9.421248,7.443923,0.0052640515298562,0.9526227106529002,0.0052637808445808,0.0052646355826354,0.0052641803784138,0.0052640529433589,0.0052633501097071,0.0052635400139484,0.0052645482854867,0,0,0,1,0,0
447020,14.99,0,18,17,8,2,4,1078,169,20.0,0,1,1,0,2016.0,10.0,4.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.490898,5.886815,0.0058833133172331,0.0058838772231681,0.005882770576585,0.0058830802671925,0.7802138602888109,0.0058825956516275,0.1727207945268012,0.0058841962977259,0.0058829237411787,0,0,0,1,0,0
439700,0.0,0,1,0,12,0,0,1208,205,20.0,0,1,0,0,2016.0,2.0,1.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,11.340098,3.652917,0.0038466226150849,0.0038466404091788,0.0038466534255882,0.0038467315830879,0.9653797257928576,0.0038464794086669,0.0038470519598201,0.0038470338024358,0.0038466490157156,0,0,1,0,0,0
2100,9.99,17,5,0,6,4,0,1455,222,20.0,0,1,0,0,2006.0,10.0,4.0,2.0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,12.346942,1.4568226,0.0037044787977284,0.3492516825413178,0.0037043248961713,0.4641784699783952,0.0037045752869466,0.0037046842034763,0.0037046034214602,0.0037047580387726,0.1606377655148216,1,0,0,0,0,0
268500,19.99,0,11,88,16,4,7,2109,345,20.0,0,1,1,1,2016.0,2.0,1.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,14.308119,2.3944004,0.0055576575442094,0.3339704376787389,0.0055566688419109,0.0055565112925012,0.005556785890952,0.0055588164120965,0.00555700782508,0.6215717014243689,0.0055575217453808,0,0,0,1,0,0
1551360,59.99,0,16,164,16,2,52,1978,316,20.0,0,1,0,0,2021.0,11.0,4.0,0.0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.3044534,5.929321,0.4702576667961713,0.0083351193629355,0.0083342960716605,0.0083354030937212,0.4630652776314282,0.0083353200185396,0.0083346203187651,0.0083339070885664,0.0083338938139196,0,0,0,0,0,1
